Neighborhood,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more"
Allentown,45.0,19.0,22.0,44.0,100.0,49.0,24.0,97.0,58.0,41.0,20.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Arlington,12.0,29.0,5.0,43.0,27.0,45.0,49.0,87.0,103.0,21.0,37.0,7.0,9.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0
Banksville,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,47.0,32.0,88.0,57.0,65.0,155.0,149.0,173.0,41.0,14.0,18.0,10.0,0.0,0.0,17.0,0.0,0.0
Beechview,0.0,0.0,0.0,0.0,9.0,39.0,45.0,125.0,162.0,311.0,445.0,311.0,171.0,191.0,135.0,35.0,14.0,31.0,27.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0
Beltzhoover,4.0,19.0,45.0,84.0,54.0,17.0,28.0,133.0,29.0,31.0,13.0,24.0,27.0,19.0,9.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloomfield,5.0,23.0,5.0,15.0,0.0,17.0,4.0,58.0,75.0,56.0,121.0,168.0,97.0,236.0,139.0,163.0,121.0,152.0,72.0,87.0,41.0,26.0,3.0,4.0,0.0,0.0
Bon Air,2.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,32.0,75.0,60.0,52.0,10.0,4.0,14.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Brighton Heights,14.0,6.0,0.0,14.0,24.0,22.0,55.0,79.0,47.0,108.0,263.0,222.0,240.0,399.0,330.0,219.0,117.0,29.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Brookline,47.0,47.0,6.0,39.0,10.0,15.0,49.0,71.0,206.0,428.0,670.0,672.0,619.0,675.0,306.0,160.0,74.0,45.0,23.0,42.0,0.0,10.0,23.0,0.0,0.0,8.0
Carrick,11.0,46.0,43.0,22.0,56.0,65.0,112.0,297.0,385.0,347.0,403.0,230.0,197.0,212.0,28.0,70.0,15.0,48.0,0.0,9.0,4.0,24.0,0.0,0.0,0.0,0.0
Central Business District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,11.0,30.0,12.0,0.0,28.0,19.0,37.0,0.0,71.0,33.0,16.0,46.0,58.0,12.0,10.0,0.0,0.0
Central Lawrenceville,0.0,14.0,0.0,7.0,8.0,0.0,9.0,67.0,78.0,48.0,39.0,70.0,23.0,147.0,99.0,125.0,46.0,83.0,61.0,58.0,24.0,9.0,0.0,0.0,0.0,0.0
Central Northside,11.0,0.0,6.0,0.0,5.0,0.0,0.0,12.0,17.0,18.0,5.0,9.0,6.0,49.0,28.0,48.0,36.0,87.0,89.0,89.0,26.0,0.0,0.0,0.0,0.0,0.0
Crafton Heights,0.0,9.0,28.0,13.0,26.0,31.0,39.0,6.0,102.0,77.0,155.0,165.0,110.0,114.0,78.0,42.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Crawford-Roberts,7.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,31.0,8.0,32.0,12.0,33.0,15.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duquesne Heights,7.0,10.0,0.0,0.0,0.0,0.0,9.0,28.0,51.0,74.0,73.0,150.0,34.0,93.0,81.0,70.0,7.0,24.0,24.0,62.0,28.0,5.0,0.0,7.0,0.0,0.0
East Allegheny,8.0,24.0,15.0,31.0,0.0,0.0,38.0,35.0,23.0,0.0,0.0,0.0,16.0,7.0,27.0,41.0,35.0,23.0,57.0,48.0,0.0,0.0,0.0,7.0,0.0,0.0
East Hills,0.0,7.0,29.0,14.0,36.0,35.0,16.0,100.0,42.0,90.0,55.0,71.0,25.0,17.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0
East Liberty,0.0,0.0,0.0,20.0,0.0,35.0,7.0,30.0,32.0,17.0,75.0,12.0,11.0,17.0,8.0,28.0,26.0,42.0,24.0,32.0,0.0,0.0,0.0,11.0,0.0,0.0
Elliott,0.0,0.0,59.0,22.0,49.0,71.0,41.0,91.0,55.0,62.0,39.0,23.0,7.0,12.0,7.0,5.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
Fineview,3.0,0.0,0.0,7.0,19.0,12.0,14.0,26.0,10.0,20.0,29.0,7.0,8.0,40.0,10.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Garfield,54.0,9.0,24.0,34.0,11.0,51.0,24.0,62.0,44.0,84.0,51.0,17.0,22.0,30.0,31.0,40.0,3.0,12.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
Greenfield,22.0,0.0,14.0,24.0,0.0,0.0,10.0,54.0,29.0,68.0,145.0,127.0,95.0,345.0,246.0,357.0,168.0,209.0,27.0,25.0,0.0,18.0,13.0,0.0,0.0,0.0
Hazelwood,19.0,0.0,49.0,44.0,52.0,43.0,52.0,27.0,64.0,119.0,62.0,84.0,53.0,85.0,67.0,75.0,51.0,32.0,18.0,11.0,0.0,0.0,9.0,0.0,0.0,0.0
Highland Park,0.0,8.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,60.0,96.0,32.0,90.0,129.0,155.0,130.0,67.0,144.0,327.0,166.0,47.0,0.0,14.0,0.0,0.0
Homewood North,15.0,1.0,63.0,76.0,21.0,80.0,46.0,122.0,17.0,25.0,13.0,23.0,5.0,4.0,5.0,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homewood South,27.0,12.0,0.0,7.0,19.0,52.0,25.0,32.0,26.0,25.0,27.0,34.0,14.0,11.0,21.0,21.0,4.0,11.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Knoxville,12.0,26.0,49.0,111.0,30.0,22.0,20.0,157.0,166.0,67.0,34.0,14.0,0.0,36.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larimer,4.0,15.0,33.0,6.0,15.0,39.0,10.0,27.0,24.0,8.0,14.0,11.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln Place,0.0,10.0,0.0,31.0,10.0,12.0,14.0,60.0,166.0,183.0,189.0,138.0,86.0,157.0,110.0,60.0,25.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln-Lemington-Belmar,20.0,27.0,13.0,36.0,58.0,13.0,41.0,160.0,101.0,125.0,83.0,57.0,11.0,45.0,7.0,11.0,8.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Lower Lawrenceville,16.0,0.0,0.0,21.0,8.0,28.0,8.0,17.0,17.0,32.0,18.0,33.0,8.0,70.0,16.0,64.0,29.0,40.0,23.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Manchester,6.0,0.0,0.0,8.0,9.0,0.0,12.0,15.0,37.0,53.0,83.0,38.0,47.0,49.0,53.0,26.0,1.0,19.0,25.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0
Marshall-Shadeland,11.0,14.0,46.0,54.0,8.0,39.0,57.0,137.0,81.0,153.0,128.0,84.0,41.0,35.0,56.0,5.0,6.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0
Middle Hill,0.0,5.0,5.0,4.0,0.0,28.0,6.0,11.0,18.0,71.0,0.0,15.0,5.0,54.0,5.0,26.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Morningside,34.0,22.0,0.0,0.0,0.0,6.0,35.0,8.0,22.0,43.0,50.0,151.0,41.0,98.0,190.0,115.0,24.0,100.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Mount Oliver Borough,4.0,0.0,0.0,0.0,35.0,50.0,57.0,160.0,100.0,104.0,45.0,9.0,12.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
